nombre,nickname,país,comida_favorita,número_de_la_suerte
Melissa,stanleystephen,Cook Islands,pizza,60
Cathy,kathynelson,Antarctica (the territory South of 60 deg S),pizza,63
Brian,nicholaspruitt,Ireland,sushi,4
Russell,krista37,Rwanda,pasta,27
Casey,stephanie23,Venezuela,chocolate,74
Aaron,vmedina,Indonesia,fruta,33
William,andrewriley,Tunisia,pizza,77
Renee,stevenberger,French Guiana,chocolate,86
Jenna,kleinscott,Malaysia,chocolate,64
Roy,matthew32,French Guiana,hamburguesa,30
Caitlyn,lrandolph,Mauritania,fruta,1
Johnny,nancyarroyo,Czech Republic,chocolate,11
Karen,jacquelinephillips,French Guiana,pizza,15
Karen,kevinmorris,El Salvador,pizza,17
Megan,jessicawright,Svalbard & Jan Mayen Islands,ensalada,64
Carol,jamescastillo,Saint Vincent and the Grenadines,hamburguesa,5
Catherine,robbinsjulie,American Samoa,pollo,61
Christine,crystalmoses,Wallis and Futuna,ensalada,50
Jennifer,shellyevans,Cuba,pasta,45
Antonio,dduke,Comoros,sushi,15
Pamela,sheila90,Ecuador,sushi,59
Michael,qrogers,French Southern Territories,fruta,13
Deanna,elucas,Aruba,pollo,51
Jacob,scott50,Hungary,chocolate,13
Kimberly,anthony58,Israel,helado,35
Tina,egregory,Morocco,ensalada,43
Brenda,kara73,Falkland Islands (Malvinas),fruta,31
Vincent,hooverkevin,Brazil,hamburguesa,47
April,murraychristopher,Uzbekistan,sushi,41
Peter,acarter,Bermuda,sushi,22
Shelly,connor15,Belize,sushi,13
Joshua,moorebenjamin,Slovakia (Slovak Republic),hamburguesa,49
Phillip,karen38,El Salvador,hamburguesa,94
Jesse,meyersangela,Guinea,chocolate,94
Melanie,xhamilton,France,pollo,29
Barbara,cmartinez,Togo,fruta,7
Ruth,erik01,Angola,pollo,36
Cory,cassandra83,French Guiana,pollo,34
Brenda,singletonjulie,Swaziland,hamburguesa,31
Amber,vangnicholas,Djibouti,hamburguesa,88
Allen,carol68,Dominican Republic,tacos,2
Bryan,reynoldscristian,Peru,pasta,29
Jacob,ashley61,Bangladesh,pasta,22
Chad,ilopez,Singapore,chocolate,10
Elizabeth,thomas71,Barbados,tacos,8
Shawn,joshuasmith,Portugal,tacos,20
Andrew,dsanchez,Tonga,pasta,100
Rebecca,daviddaniels,Dominica,ensalada,66
Lindsay,nathan39,Syrian Arab Republic,fruta,19
Shannon,jonathan90,Papua New Guinea,sushi,66
Spencer,ruizjohn,Sao Tome and Principe,pasta,94
Jessica,sarahthompson,Belize,pasta,55
Bradley,megancase,Saint Kitts and Nevis,helado,39
Tammy,craigsnow,Guatemala,helado,88
Allison,thomasmendoza,Mayotte,helado,100
Rachel,qcurry,Tajikistan,tacos,11
Kristin,dking,Turks and Caicos Islands,pollo,10
William,emorris,Uruguay,ensalada,42
Pamela,jackie22,Iceland,pasta,37
David,ayang,Singapore,tacos,46
Joseph,april12,Andorra,tacos,35
Samuel,ygray,Armenia,fruta,8
Peter,ymcdowell,China,ensalada,27
David,shane45,Malta,pizza,18
Elizabeth,ewingtracy,British Indian Ocean Territory (Chagos Archipelago),pasta,1
Terry,careytyler,Portugal,fruta,42
Jon,rachelgonzalez,Burundi,sushi,13
Sean,amack,Dominican Republic,sushi,20
Brian,allen65,Libyan Arab Jamahiriya,fruta,47
Travis,carsonemily,United States of America,ensalada,78
Calvin,daniel89,Christmas Island,fruta,37
Danielle,nicolelindsey,Norfolk Island,pasta,19
Suzanne,hturner,Bahamas,pasta,80
Ashley,stanleycassie,Fiji,ensalada,83
Robert,cathy57,Malawi,fruta,78
Alex,nichole16,Luxembourg,pizza,5
Susan,eddiejohnson,Cameroon,pizza,25
Meredith,jadeperry,Grenada,pasta,58
Zachary,tonyamathews,Bolivia,pollo,24
Spencer,shawn77,Sierra Leone,chocolate,89
Daniel,oriley,Falkland Islands (Malvinas),pollo,97
Brandi,thomassmith,Faroe Islands,sushi,88
Michael,samantha84,New Zealand,pollo,36
Leah,berrynicholas,Cayman Islands,sushi,9
Rodney,sandovalcourtney,Kuwait,pasta,54
Robert,cherylburton,Egypt,ensalada,82
Amanda,emily44,Swaziland,fruta,89
Cassandra,yburns,Belize,chocolate,65
Patrick,joshua05,Swaziland,tacos,80
Thomas,jennifersimpson,Lesotho,chocolate,24
Robert,kevinbyrd,Greenland,pasta,52
Brandi,millerheather,Iran,hamburguesa,53
Edward,tanya20,Bermuda,sushi,24
Crystal,hernandezbrandon,Tunisia,helado,21
Antonio,daniel78,Nigeria,pasta,47
Hayley,ebrown,Italy,sushi,14
Adam,holmesshawn,Tunisia,pollo,12
Cassandra,mmata,Cape Verde,hamburguesa,66
Barbara,fward,Suriname,chocolate,87
Caitlin,jonesdaniel,Cape Verde,tacos,89
Charlene,virginiajohnson,Nepal,chocolate,35
Emily,freemansharon,Lebanon,pasta,19
Nancy,emilychandler,Tuvalu,sushi,89
Margaret,brandyrodriguez,Italy,chocolate,90
Abigail,azhang,Pakistan,ensalada,49
Elizabeth,katielogan,Libyan Arab Jamahiriya,pollo,66
Andrew,burnsabigail,Luxembourg,sushi,60
Kyle,jdavis,Seychelles,tacos,20
Donna,iadams,Bulgaria,pollo,80
Cassandra,ashley44,Niue,chocolate,56
Kyle,jessecarter,Algeria,hamburguesa,71
Willie,caroline55,Kiribati,hamburguesa,29
Kim,iwarren,Norway,fruta,37
Thomas,nelsonjeffrey,Brazil,ensalada,38
Valerie,zbentley,Algeria,pasta,50
Gerald,ntate,Yemen,ensalada,57
Alice,butlererin,French Guiana,fruta,47
Justin,chardy,Madagascar,tacos,1
Barbara,willisbilly,Nauru,tacos,35
Victoria,richardsrebekah,Gabon,hamburguesa,71
Ryan,ucarter,Montserrat,pizza,83
Katie,mgray,Saudi Arabia,ensalada,19
Megan,melanie17,Mexico,pollo,83
Yolanda,melissaschwartz,Trinidad and Tobago,helado,35
Brandon,zallen,Bahrain,sushi,18
Terri,hectorchambers,Netherlands Antilles,ensalada,31
Dustin,masonalicia,Trinidad and Tobago,chocolate,94
Travis,christopher30,Slovakia (Slovak Republic),fruta,17
John,michaelgeorge,Barbados,tacos,73
Anthony,starkdavid,Colombia,helado,40
Melissa,mike54,Saint Vincent and the Grenadines,helado,14
Jerry,cindy48,Sierra Leone,hamburguesa,37
Zachary,hartaaron,Brazil,fruta,19
Samantha,friedmannicholas,Tonga,helado,48
Patrick,wcastaneda,Monaco,helado,76
Daniel,gsmith,Ethiopia,fruta,99
Roger,heather15,Seychelles,pizza,51
Amanda,roseconnor,Belarus,helado,23
Mark,laura76,British Virgin Islands,ensalada,46
Rachel,dhoward,Brunei Darussalam,pizza,57
John,oross,Indonesia,sushi,22
Jason,ngarcia,Qatar,helado,66
Brian,andrew39,French Polynesia,pasta,53
Joseph,oliviafarrell,Monaco,helado,94
Angel,jwise,Colombia,fruta,77
Tony,conwayandrew,Korea,sushi,84
Bianca,spenceremily,Guinea-Bissau,sushi,93
Penny,kevin97,Lesotho,ensalada,3
Christopher,barbarapayne,Guinea-Bissau,pasta,13
George,mary35,American Samoa,pasta,27
Diana,kjohnson,Afghanistan,chocolate,38
Anthony,youngnicole,Costa Rica,hamburguesa,45
Jack,amandachambers,Madagascar,pasta,17
Kimberly,kristenli,Saint Helena,sushi,23
Julia,caitlin15,Senegal,pizza,17
William,jeffrey19,Netherlands,fruta,60
Aaron,uyates,Cote d'Ivoire,pizza,69
Jonathan,amanda78,Bolivia,ensalada,67
Lori,tracy73,Angola,helado,95
Ethan,stephanie52,Azerbaijan,helado,16
Robert,leah48,North Macedonia,helado,78
Todd,davidgardner,Mauritania,fruta,49
Tammy,howard03,Vanuatu,fruta,27
Kenneth,stefanie82,Ethiopia,sushi,9
Justin,brittany34,Saint Barthelemy,chocolate,60
Rebecca,mcruz,Serbia,sushi,68
Jessica,chris69,Barbados,pizza,20
Jessica,tracey83,Algeria,pollo,95
Michael,ddiaz,Angola,sushi,41
Barbara,npearson,Algeria,ensalada,51
Jason,greenbecky,South Africa,pizza,58
Linda,belindamedina,Georgia,ensalada,16
Donald,susanmaddox,Kenya,tacos,65
Christina,brittany22,Uganda,pasta,24
Christina,nicole31,Cayman Islands,pasta,70
Lisa,melinda93,Norway,hamburguesa,59
Phyllis,barkerryan,Luxembourg,sushi,63
Kelsey,lindanguyen,Montserrat,helado,82
Connie,olivia35,El Salvador,pizza,86
Renee,johnsonryan,Kenya,tacos,38
David,greenamy,Belarus,sushi,35
Kevin,mcleanolivia,Montserrat,ensalada,90
Richard,brandon70,Dominican Republic,hamburguesa,8
Kathryn,johnsoncassandra,Sweden,pollo,70
Debbie,patriciapeters,Mozambique,pasta,50
John,vspencer,Mongolia,fruta,99
John,robertwang,Kenya,hamburguesa,34
Patricia,hpalmer,Pakistan,pizza,32
Hector,christinasmith,Holy See (Vatican City State),sushi,51
Michael,crosslisa,British Indian Ocean Territory (Chagos Archipelago),helado,25
Chad,thomas30,Mauritania,fruta,53
Katelyn,porterdebbie,Northern Mariana Islands,helado,44
Julie,iedwards,Mongolia,ensalada,84
Taylor,russelljoseph,Antarctica (the territory South of 60 deg S),fruta,54
Matthew,amber01,Saint Vincent and the Grenadines,tacos,56
Donna,vbrown,Poland,helado,21
Matthew,michaelkelly,Puerto Rico,chocolate,44
Brittany,petersonmolly,Ethiopia,pizza,26
Tina,scottchristine,North Macedonia,pizza,20
Jennifer,opadilla,Holy See (Vatican City State),pollo,30
Carolyn,patricia53,Hungary,chocolate,22
Joel,yruiz,Monaco,helado,54
David,tonyawashington,Kenya,ensalada,28
Alexandra,justin60,Cocos (Keeling) Islands,sushi,100
Denise,stacey20,Uzbekistan,fruta,20
Pamela,lindseycoleman,Israel,tacos,94
Claudia,dthornton,Mayotte,hamburguesa,98
Kimberly,mikemonroe,Jamaica,chocolate,33
Tristan,sriley,Mayotte,fruta,89
Kelly,bmcguire,Belgium,pasta,33
Cynthia,jeffery82,Lesotho,helado,77
Edward,simsheather,Afghanistan,hamburguesa,33
Regina,stacey93,Sudan,ensalada,58
Megan,sandra15,Cote d'Ivoire,helado,82
Megan,susanberry,Cambodia,pizza,84
Brenda,travis12,Botswana,pasta,90
Lindsey,michaellyons,Western Sahara,pizza,24
Derek,roy17,Montserrat,pasta,92
Cheryl,kruegertracey,Morocco,chocolate,69
Jesse,bradley51,Montserrat,pasta,36
Michael,pbray,Iceland,hamburguesa,14
Bruce,cowandanielle,Nepal,sushi,93
Robert,millerholly,Chad,pizza,95
Joseph,vaguilar,Gambia,ensalada,49
Jacqueline,melissa03,Taiwan,helado,85
Aaron,hollymitchell,Cook Islands,pasta,28
Nicole,barbarahoffman,Ethiopia,chocolate,97
Travis,yball,Belize,hamburguesa,7
Jeffrey,gbautista,South Georgia and the South Sandwich Islands,pasta,9
Jessica,dalebartlett,Poland,fruta,50
Kenneth,david88,Saint Pierre and Miquelon,sushi,49
Eric,cheyennemckinney,Angola,helado,83
Penny,zmoore,Bolivia,fruta,100
Elizabeth,michael07,Bermuda,hamburguesa,47
Katherine,owallace,Fiji,fruta,78
Charles,michael87,Nauru,pasta,83
Joseph,pbarrera,Netherlands,tacos,44
Jeffrey,starkwayne,Andorra,fruta,23
Sergio,edward24,Canada,hamburguesa,44
Rebecca,romeroellen,Algeria,chocolate,82
Stephanie,lmiller,Timor-Leste,pollo,46
Dawn,bowerssteven,Bolivia,pasta,74
Valerie,kathryn92,Venezuela,pizza,80
Robert,dramirez,Guyana,sushi,61
Melvin,sandrabush,Luxembourg,pizza,12
Chris,lewisphilip,Egypt,pasta,68
Travis,smithmatthew,Romania,hamburguesa,71
Dillon,claudiakelley,Norfolk Island,pizza,74
Michael,samanthayoung,Tanzania,pollo,33
Rita,haley97,Guernsey,chocolate,93
Desiree,leonardjoel,Romania,pollo,46
Rita,claycaitlin,Bermuda,ensalada,96
Timothy,mayoaustin,El Salvador,pollo,87
Tyler,deniseburke,Czech Republic,sushi,87
Heather,gdaniels,Central African Republic,helado,44
John,williamsvalerie,Burkina Faso,ensalada,61
Peter,jason38,French Polynesia,fruta,31
Christopher,gonzalezbarry,Cote d'Ivoire,pasta,27
Dennis,nicholasprice,Ghana,pasta,61
David,kenneth52,Aruba,hamburguesa,23
Joseph,qguzman,Egypt,tacos,95
Brian,johnny14,Barbados,hamburguesa,88
Heather,fgarcia,Libyan Arab Jamahiriya,pizza,42
John,myerstoni,Mauritius,hamburguesa,10
Linda,dana31,Mauritius,pasta,27
Ashley,hcole,Morocco,pasta,66
Ronald,lauren69,Guadeloupe,ensalada,26
Steven,brian90,Sierra Leone,pasta,64
Jay,daniel65,Sierra Leone,hamburguesa,96
Alison,adamwinters,Northern Mariana Islands,tacos,21
Nicole,eric26,Peru,chocolate,54
Gabriella,eringrant,Seychelles,chocolate,42
Beth,johnsonhunter,Western Sahara,tacos,85
Christopher,seanjohnson,New Zealand,ensalada,38
Shelby,gary35,Azerbaijan,sushi,23
Erica,aespinoza,Tuvalu,sushi,83
David,davisglenn,Chile,pizza,14
Teresa,bwilson,Bouvet Island (Bouvetoya),tacos,39
Jim,jamessims,Romania,helado,31
Michelle,christophersmith,Guam,sushi,83
Christina,ariel55,Iraq,ensalada,57
Donna,morenonicole,French Southern Territories,pasta,63
Stacey,nguyenanthony,Georgia,chocolate,12
Mark,josephmclean,Mozambique,pizza,32
Rachel,jeremy18,Palestinian Territory,pasta,5
Katherine,zlara,Saint Helena,fruta,74
Jennifer,clinton57,Malta,sushi,13
Geoffrey,kingalexandra,Turkmenistan,sushi,56
Rebecca,perezgina,Sri Lanka,helado,53
Laura,idavis,Malaysia,hamburguesa,52
Amy,fischerhector,Sweden,fruta,20
Alicia,hmoore,Palestinian Territory,pollo,61
Valerie,burnsalexandria,Holy See (Vatican City State),fruta,77
Nicholas,dkennedy,Lao People's Democratic Republic,tacos,76
Cody,lpatterson,Liberia,chocolate,44
Alexis,gary87,Estonia,pasta,16
Gary,sgibbs,Isle of Man,chocolate,1
James,kevin37,French Polynesia,helado,51
Timothy,jillsmith,Mali,helado,45
Michael,vkirk,Monaco,hamburguesa,90
Anna,leejennifer,Finland,hamburguesa,61
Timothy,elizabethfields,Kazakhstan,chocolate,99
Crystal,jhayes,Isle of Man,pasta,92
Kyle,wjohnson,Suriname,sushi,40
Melanie,david19,Western Sahara,pizza,74
Carlos,jcrawford,Finland,helado,35
Pamela,connie23,Saint Vincent and the Grenadines,ensalada,5
Michael,gabriellejohnson,Mauritania,hamburguesa,60
Matthew,kerrkenneth,Jersey,hamburguesa,53
Stephen,regina21,Cook Islands,fruta,100
Ariel,icarson,Ethiopia,fruta,80
Zachary,aguirrejohn,Vietnam,helado,74
Tamara,fstafford,Fiji,tacos,84
Ana,zhammond,Guyana,fruta,16
Erica,xcarter,Netherlands,ensalada,99
Russell,heather37,Antarctica (the territory South of 60 deg S),pizza,10
Clifford,monicablake,Bangladesh,chocolate,99
Jason,grodriguez,Honduras,fruta,11
Anthony,christopher03,Sudan,sushi,36
Michael,hhenderson,Lebanon,helado,55
Tony,jenkinsjulia,Croatia,fruta,55
Christopher,wlewis,Bahrain,pizza,44
Jade,danielserrano,Macao,sushi,24
Mark,rmiller,Panama,helado,33
Amy,joshua81,New Caledonia,ensalada,31
Bryan,edward05,Guinea-Bissau,sushi,49
Henry,davery,Cape Verde,helado,37
Kenneth,paulbradley,Namibia,tacos,51
Mark,oprince,Togo,helado,45
Catherine,david18,Turks and Caicos Islands,tacos,40
John,susan48,Latvia,hamburguesa,84
John,floresrobert,Vanuatu,chocolate,1
Roy,fmcbride,Serbia,ensalada,22
Christopher,wilsonteresa,Turks and Caicos Islands,fruta,79
Nathaniel,johnsondavid,Guyana,fruta,20
Ryan,ryan69,Kazakhstan,pollo,60
Christina,lpatel,Monaco,hamburguesa,95
Annette,becksamantha,Mauritania,sushi,29
Matthew,jennifer86,Solomon Islands,pasta,91
Matthew,williamsmelissa,Oman,helado,8
Jennifer,gomezamy,North Macedonia,helado,23
Ryan,jsalazar,Palau,hamburguesa,45
Brittany,osborneheather,Suriname,sushi,1
Kyle,barbara71,Burundi,pasta,95
James,brownlinda,Ecuador,tacos,96
Benjamin,reeddavid,Spain,pollo,17
Danny,harringtondanielle,Guatemala,tacos,7
Jamie,melissacastillo,Mauritania,ensalada,19
William,xle,Colombia,ensalada,33
Denise,wtaylor,Denmark,pollo,44
Brad,emily15,Greece,tacos,75
Deanna,richardreyes,Norway,tacos,65
Joshua,morganryan,Netherlands,pizza,83
Kim,daniel10,Congo,ensalada,31
Douglas,hudsonrhonda,Niger,fruta,68
Michael,michael04,Portugal,pasta,66
Luis,mollymyers,Armenia,chocolate,94
Jesus,lisalopez,Aruba,fruta,70
Kathleen,schmidtwilliam,Yemen,fruta,65
Kathryn,whitneybates,Barbados,pizza,69
Steven,crandall,French Southern Territories,helado,39
Michael,boydnathan,Tuvalu,pollo,73
John,rjones,Iraq,ensalada,15
Samantha,bwhite,Burkina Faso,pasta,84
Brenda,stephanie25,Saint Pierre and Miquelon,chocolate,16
Kathleen,stewartcharles,Bouvet Island (Bouvetoya),tacos,52
Jesus,joshuahines,Micronesia,hamburguesa,88
Mark,richardbrowning,Norfolk Island,fruta,85
Kathryn,dickersonamber,Paraguay,pasta,94
Angela,kevinortiz,Qatar,pollo,42
James,nicholas53,Niue,pasta,98
Cindy,justinking,Tuvalu,sushi,21
Mathew,bcollins,Morocco,pizza,40
Fernando,bryantroberto,Bermuda,pollo,69
Mark,jaime24,Thailand,tacos,2
Holly,ybrown,Zimbabwe,pasta,33
Michael,johnwright,Luxembourg,sushi,55
Joseph,whitemary,Ukraine,helado,73
Sheila,camachosarah,Jamaica,pollo,42
Darren,jfreeman,Palau,pasta,89
Kimberly,andreataylor,Reunion,pollo,71
Susan,bradydrew,Morocco,helado,17
Mallory,guywilliams,Indonesia,sushi,84
Charles,fchase,Mexico,pasta,8
Linda,nguerrero,Tonga,fruta,46
Julie,esparzapatrick,Benin,sushi,49
Jill,jennifer59,Belarus,fruta,5
Austin,frank06,Barbados,pollo,46
Jonathan,greenescott,Svalbard & Jan Mayen Islands,fruta,90
Rodney,lynchkayla,Svalbard & Jan Mayen Islands,pollo,45
Alexis,dianamiller,Angola,fruta,72
Joseph,danielewing,Panama,pollo,23
Jeff,wilkersonheather,Germany,pasta,97
Nicholas,gloria67,British Virgin Islands,tacos,13
Emily,cesarsmith,Mozambique,sushi,20
April,bill01,India,sushi,71
Sarah,iburns,Zambia,helado,24
Hector,fneal,Niue,sushi,91
Jose,aburns,Aruba,helado,94
Emily,hodgechristian,Tajikistan,ensalada,88
Evan,hendrickslori,Brunei Darussalam,tacos,9
Eric,cynthia63,Anguilla,fruta,72
Christina,heather05,Mali,sushi,91
Emily,gsmith,Western Sahara,ensalada,70
Amy,gutierrezashley,Benin,pollo,83
Alexander,orteganicole,Djibouti,ensalada,52
Noah,sheilakennedy,Central African Republic,chocolate,68
Maria,ibrown,Finland,hamburguesa,46
Victor,ywatson,Somalia,tacos,27
Kristen,cindyhunter,France,pasta,56
Brandon,uchapman,Nicaragua,fruta,3
Kyle,deborahwalton,Western Sahara,sushi,83
Amanda,delgadoscott,Yemen,pasta,94
Marcus,jeffrey36,Cayman Islands,fruta,1
Lynn,kelleylauren,Mongolia,sushi,98
Luis,czimmerman,Niger,hamburguesa,4
James,qlopez,Benin,hamburguesa,12
Heather,wthomas,Cayman Islands,tacos,66
Alexandria,jill64,United States Minor Outlying Islands,tacos,94
Stephanie,huffmanbrandon,Lesotho,helado,24
Summer,glee,Antarctica (the territory South of 60 deg S),pizza,56
Corey,bsweeney,Norway,pasta,71
Laura,susan67,Sri Lanka,tacos,35
Larry,barrettbrittany,Oman,hamburguesa,30
Ryan,rortiz,United Kingdom,sushi,88
Tamara,egreene,Guinea-Bissau,ensalada,8
Dillon,davidgriffin,Saint Barthelemy,ensalada,65
Julia,ashepard,Slovenia,chocolate,92
Gregory,jonathan50,Kazakhstan,pasta,92
Anthony,laurensaunders,Uzbekistan,tacos,83
Kevin,andreawilliams,Equatorial Guinea,chocolate,29
Lee,cruzdarryl,Venezuela,hamburguesa,61
Ryan,joneslaura,Peru,helado,77
Ryan,rebecca66,British Virgin Islands,pollo,45
Megan,zmonroe,Equatorial Guinea,fruta,22
Jennifer,kristyhill,Bolivia,chocolate,78
James,mikedavis,Holy See (Vatican City State),pollo,24
Nancy,claytonshelton,Honduras,chocolate,47
Christopher,michael15,Ghana,pasta,97
Jennifer,michaelstone,Jamaica,sushi,88
Joshua,fowlermelissa,Kyrgyz Republic,pollo,90
Jessica,ashleylloyd,Tanzania,helado,85
Andrea,jeremy57,Macao,hamburguesa,16
Michael,garciamichele,Ecuador,tacos,11
Diane,patriciawhite,Greenland,ensalada,57
Erin,ryanmaynard,Comoros,pollo,15
James,juan21,Vietnam,hamburguesa,79
Anna,stevensonaudrey,Zambia,chocolate,99
Rachel,amanda99,Mayotte,pasta,13
Courtney,kserrano,Togo,chocolate,77
Margaret,tiffany98,Ireland,pollo,87
Gail,iramirez,Bouvet Island (Bouvetoya),ensalada,50
Ryan,hollybird,New Caledonia,sushi,72
Richard,debrarodriguez,Eritrea,chocolate,10
Samuel,kellysandoval,Faroe Islands,fruta,26
Alicia,zacharybryant,Aruba,hamburguesa,97
Jessica,elogan,Latvia,helado,49
Jacqueline,zshields,Algeria,hamburguesa,32
Nancy,john45,Turks and Caicos Islands,chocolate,76
Bill,tonimartin,Nigeria,fruta,72
William,paulanderson,Malta,fruta,71
Christina,vancejay,Slovenia,hamburguesa,23
Tiffany,psmith,Marshall Islands,ensalada,19
Sean,jgarcia,North Macedonia,helado,29
Randall,brianna59,Azerbaijan,pollo,16
Angelica,deborah71,Macao,sushi,94
Jamie,edwin93,Kyrgyz Republic,pasta,62
Ronald,frankhancock,Lao People's Democratic Republic,fruta,84
Adam,kyle48,Montenegro,helado,99
Brian,carrielee,Comoros,pollo,64
Jenny,lori66,Togo,fruta,69
Jorge,amyatkinson,Central African Republic,pasta,85
Alexander,jrojas,Cyprus,pizza,40
Rachel,bryantbonnie,Togo,pasta,27
Dustin,jennifer95,Brunei Darussalam,sushi,54
Christine,christinehill,Tokelau,sushi,57
Elizabeth,pdelgado,French Southern Territories,pollo,46
Matthew,mariahburke,Colombia,pollo,85
Michael,robert90,El Salvador,pasta,93
Michele,lesliewilson,Uruguay,fruta,79
Jason,jeremymelendez,Norway,tacos,12
Brooke,terriwilliams,United States of America,hamburguesa,14
Sarah,michaelriley,Russian Federation,chocolate,15
Amber,tinahooper,Saint Vincent and the Grenadines,fruta,27
Bobby,juliacarter,Kuwait,pollo,51
Brandon,mrobinson,Rwanda,ensalada,98
Christine,mollyellis,Tanzania,sushi,20
Kyle,ymiller,Peru,helado,11
James,rrodriguez,Egypt,pollo,32
Samantha,qmartin,Belarus,hamburguesa,8
Andrew,dwebb,Egypt,helado,61
Tamara,ramseytaylor,Bhutan,pizza,86
Danielle,arroyobrandon,Djibouti,sushi,11
Amanda,rebekahwelch,Bahrain,fruta,9
Jessica,sabrina41,Ireland,helado,66
Bruce,lorijohnson,Mali,pizza,35
Victoria,christopherduran,Saint Martin,tacos,29
Sarah,ahill,Venezuela,chocolate,86
Jonathan,michaelcooper,Moldova,fruta,91
Tracy,bobbymcdowell,Micronesia,pizza,95
Scott,debbie68,Saint Lucia,tacos,92
David,josephmiller,Mayotte,ensalada,55
Jessica,nunezvalerie,Lebanon,pollo,73
Shaun,carriebruce,Ghana,sushi,62
Robert,brendajohnson,Peru,ensalada,53
Eduardo,brittanygonzalez,Slovenia,pizza,80
Thomas,qcervantes,Mauritania,pollo,7
Jay,hjohnson,Myanmar,chocolate,94
Emily,caroline90,Honduras,ensalada,17
Patricia,johnsonnicholas,Ghana,sushi,75
Glenn,proctorjames,United Arab Emirates,hamburguesa,99
Kaylee,kimcole,Yemen,ensalada,1
George,tflores,Mauritius,helado,48
James,donna04,Denmark,chocolate,49
Kenneth,isaacrogers,Bulgaria,ensalada,47
Kimberly,tfox,Malaysia,tacos,34
Brenda,patriciabond,Egypt,helado,30
Jennifer,caseyparker,Micronesia,helado,44
Jesse,samantha36,Ethiopia,pollo,21
Christopher,samantha23,Italy,pizza,71
James,sarah97,Mongolia,ensalada,43
Kathleen,aarondecker,United States Virgin Islands,pasta,13
Edward,uglass,Senegal,ensalada,68
Luis,fkrueger,Lao People's Democratic Republic,ensalada,88
Joseph,meghan48,Spain,chocolate,34
Gregory,samantha17,Falkland Islands (Malvinas),pizza,79
Michelle,alexander76,Norway,fruta,39
Robert,jeffreyroberts,Lao People's Democratic Republic,fruta,85
Jonathan,lauren69,Panama,fruta,81
Carla,faithtaylor,Iran,tacos,87
Carmen,qwu,Japan,chocolate,17
Vicki,jill04,Antigua and Barbuda,pasta,50
Teresa,timothy75,Solomon Islands,pasta,50
Sandra,yangdominique,Faroe Islands,pollo,20
Alyssa,dawnday,Pitcairn Islands,ensalada,31
Michael,duncanmichael,United States Minor Outlying Islands,pizza,42
Anthony,johnwilson,Micronesia,pollo,88
Daniel,sherry70,Brazil,sushi,63
Angela,ubrowning,Lithuania,chocolate,24
Suzanne,ajones,Armenia,helado,17
Betty,georgecole,Norway,pollo,50
Brian,teresalopez,Heard Island and McDonald Islands,sushi,23
Kimberly,upayne,Guatemala,helado,85
Crystal,levycarla,Palau,tacos,36
Michael,kylegibson,French Southern Territories,pasta,55
Kelli,alexander37,Australia,tacos,93
Christian,carolyn46,South Georgia and the South Sandwich Islands,pizza,65
Ricky,aneal,Paraguay,fruta,3
Steven,kristin03,Eritrea,pasta,96
Dustin,jennifer10,Puerto Rico,ensalada,86
Deborah,matthewcook,Qatar,fruta,70
Linda,bradleybryan,French Guiana,hamburguesa,46
Ashley,madison55,Haiti,tacos,85
Glen,mjefferson,Guadeloupe,ensalada,72
Beth,christopherjefferson,Ethiopia,helado,81
Diane,daniel73,Ethiopia,pasta,86
John,millercharles,Liberia,tacos,5
Amy,john76,Greece,hamburguesa,32
Megan,apatel,Seychelles,fruta,33
Isaac,joyceschultz,Chile,hamburguesa,58
David,chavezdean,Eritrea,pasta,30
Madeline,kimberlyriley,Western Sahara,hamburguesa,39
Laura,samanthalewis,British Indian Ocean Territory (Chagos Archipelago),ensalada,98
Donald,kmckay,Palestinian Territory,pizza,55
Joy,mwilson,French Guiana,chocolate,46
Samuel,lawsonkatrina,Belgium,sushi,78
Jessica,andre63,Comoros,pizza,78
Thomas,wrightsarah,North Macedonia,tacos,4
Lauren,xfox,Falkland Islands (Malvinas),pizza,25
Jeremy,hannah02,Tanzania,fruta,85
Judy,bhall,Cyprus,pasta,68
Jennifer,agomez,Lao People's Democratic Republic,ensalada,67
Richard,ttran,Lithuania,sushi,49
Ethan,jordannatalie,Rwanda,chocolate,66
Lindsey,yjoseph,Afghanistan,pasta,22
Alison,tyler65,China,pollo,24
Jennifer,fmalone,Azerbaijan,ensalada,48
April,santiagomartin,Germany,helado,5
Monica,gsutton,French Guiana,hamburguesa,98
Timothy,crawfordmegan,Saint Kitts and Nevis,hamburguesa,88
Laura,srivas,San Marino,sushi,9
Donna,jmoore,Israel,helado,43
James,thomasrobert,Thailand,pasta,21
Zachary,smithalexander,Seychelles,sushi,67
Kathryn,wmedina,South Georgia and the South Sandwich Islands,hamburguesa,97
Christina,zreed,Liberia,ensalada,74
Christopher,tuckerdylan,Monaco,fruta,1
Brandi,enguyen,South Georgia and the South Sandwich Islands,pizza,89
Maureen,vanessa72,South Africa,helado,38
Donna,armstrongjoseph,Mauritius,pasta,38
Lucas,jamesriley,Nigeria,helado,15
Lori,joeleaton,Belize,fruta,47
Dustin,ysimon,Northern Mariana Islands,pollo,54
Mary,hesterdanielle,Bulgaria,hamburguesa,87
Nicole,oanderson,North Macedonia,hamburguesa,97
Michelle,justinmccann,Malaysia,chocolate,100
